,UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
84,85,February 27 2018,DOG,Pit Bull,3,F,False,Brooklyn,11208
85,86,February 26 2018,DOG,"Poodle, Standard",5,F,False,Brooklyn,11220
86,87,February 17 2018,DOG,Pit Bull,,U,False,Brooklyn,11233
87,88,February 26 2018,DOG,Labradoodle,8,M,True,Brooklyn,11201
88,89,March 04 2018,DOG,UNCERTAIN,,U,False,Brooklyn,11206
89,90,March 03 2018,DOG,Australian Silky Terrier,6,M,True,Brooklyn,11208
90,91,March 02 2018,DOG,Cocker Spaniel,2,M,False,Brooklyn,11209
91,92,March 04 2018,DOG,Beagle Crossbreed,,U,False,Brooklyn,11215
92,93,March 04 2018,DOG,Siberian Husky,5,F,True,Brooklyn,11234
93,94,March 05 2018,DOG,MIXED BREED,3,M,False,Brooklyn,11225
94,95,March 04 2018,DOG,American Pit Bull Mix / Pit Bull Mix,4,M,True,Brooklyn,
95,96,February 28 2018,DOG,SHEPHERD/POINTER X,1,M,True,Brooklyn,11209
96,97,March 05 2018,DOG,Boxer,,U,False,Brooklyn,11215
97,98,March 06 2018,DOG,Shih Tzu,,U,False,Brooklyn,
98,99,March 06 2018,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11220
99,100,March 06 2018,DOG,MIXED BREED,13,M,True,Brooklyn,11229
100,101,March 03 2018,DOG,TERRIER MIX,5,M,False,Brooklyn,11234
101,102,February 21 2018,DOG,German Shepherd,,U,False,Brooklyn,11219
102,103,March 04 2018,DOG,,,U,False,Brooklyn,11236
103,104,February 22 2018,DOG,UNCERTAIN,,U,False,Brooklyn,11212
104,105,March 11 2018,DOG,Pit Bull,2,F,True,Brooklyn,11234
105,106,March 12 2018,DOG,Siberian Husky,2,M,False,Brooklyn,11219
106,107,March 11 2018,DOG,Pit Bull,4M,F,False,Brooklyn,11231
107,108,March 09 2018,DOG,Labrador Retriever,10W,M,False,Brooklyn,11222
108,109,March 15 2018,DOG,Beagle,7,M,True,Brooklyn,11220
109,110,March 17 2018,DOG,Jack Russ,,U,False,Brooklyn,11229
110,111,March 17 2018,DOG,Rottweiler,4,M,True,Brooklyn,11206
111,112,March 17 2018,DOG,Labrador Retriever Crossbreed,2,M,True,Brooklyn,11223
112,113,March 18 2018,DOG,American Pit Bull Mix / Pit Bull Mix,3,M,False,Brooklyn,11216
113,114,March 18 2018,DOG,MIXED BREED,11,F,False,Brooklyn,11211
114,115,March 18 2018,DOG,MIXED BREED,9,U,False,Brooklyn,11208
115,116,March 17 2018,DOG,MIXED BREED,2,F,False,Brooklyn,11203
116,117,March 11 2018,DOG,MIXED BREED,6,F,True,Brooklyn,11206
117,118,March 20 2018,DOG,UNKNOWN,,U,False,Brooklyn,11209
118,119,March 22 2018,DOG,UNKNOWN,,U,False,Brooklyn,11215
119,120,March 17 2018,DOG,UNKNOWN,,U,False,Brooklyn,11238
120,121,March 21 2018,DOG,Maltese,7-8M,F,False,Brooklyn,11216
121,122,March 11 2018,DOG,Lhasa Apso,1,M,False,Brooklyn,11226
122,123,March 26 2018,DOG,CORGI-CHIHUAHUA X,11,M,True,Brooklyn,11225
123,124,March 22 2018,DOG,Puggle,9,M,False,Brooklyn,11204
124,125,March 25 2018,DOG,ENGLISH STAFFORDSHIRE TERRIER,1,M,True,Brooklyn,11215
125,126,March 23 2018,DOG,MIXED BREED,8,M,True,Brooklyn,11218
126,127,March 26 2018,DOG,Pit Bull,,U,False,Brooklyn,11207
127,128,March 27 2018,DOG,UNKNOWN,,U,False,Brooklyn,
128,129,March 23 2018,DOG,Shih Tzu,13,F,False,Brooklyn,11209
129,130,March 27 2018,DOG,Bichon Frise,,U,False,Brooklyn,
130,131,March 26 2018,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11207
131,132,March 23 2018,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,
132,133,March 25 2018,DOG,UNKNOWN,,U,False,Brooklyn,
133,134,March 28 2018,DOG,American Pit Bull Mix / Pit Bull Mix,4,F,True,Brooklyn,11221
134,135,March 29 2018,DOG,Shih Tzu,2,F,False,Brooklyn,11237
135,136,March 30 2018,DOG,BICHON / POODLE MIX,11,M,False,Brooklyn,11226
136,137,April 01 2018,DOG,UNKNOWN,,U,False,Brooklyn,
137,138,March 31 2018,DOG,Maltese,11,M,True,Brooklyn,11215
138,139,April 04 2018,DOG,MIXED BREED,4,F,False,Brooklyn,11208
139,140,March 31 2018,DOG,MALTESE/ SHIH TZU X,3,M,False,Brooklyn,11234
140,141,March 31 2018,DOG,SIBERIAN HUSKY X,4,M,False,Brooklyn,11214
141,142,April 04 2018,DOG,MIXED BREED,10,M,False,Brooklyn,11207
142,143,April 04 2018,DOG,MIXED BREED,10,M,False,Brooklyn,11207
143,144,April 03 2018,DOG,MIXED BREED,3,M,False,Brooklyn,11237
144,145,April 04 2018,DOG,MIXED BREED,3,M,False,Brooklyn,11237
145,146,March 29 2018,DOG,MIXED BREED,4,M,False,Brooklyn,11216
146,147,April 04 2018,DOG,MIXED BREED,4,M,False,Brooklyn,11216
147,148,April 08 2018,DOG,MIXED BREED,2,M,False,Brooklyn,11249
148,149,April 08 2018,DOG,MIXED BREED,2,M,False,Brooklyn,11249
149,150,April 07 2018,DOG,Akita,4,M,False,Brooklyn,11207
150,151,April 08 2018,DOG,SHIH TZU X,3,M,False,Brooklyn,
151,152,April 08 2018,DOG,RAT TERRIER MIX,1,U,True,Brooklyn,11211
152,153,April 09 2018,DOG,BOSTON TERRIER/CHIHUAHUA,6,F,True,Brooklyn,11201
153,154,April 09 2018,DOG,German Shepherd Crossbreed,3,M,True,Brooklyn,11221
154,155,March 31 2018,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11218
155,156,April 07 2018,DOG,SHEPERD,,U,False,Brooklyn,
156,157,April 08 2018,DOG,MIXED BREED,3,M,True,Brooklyn,11238
157,158,April 09 2018,DOG,Siberian Husky,1,M,True,Brooklyn,11238
158,159,April 10 2018,DOG,Shih Tzu,6,M,True,Brooklyn,
159,160,April 10 2018,DOG,Pit Bull,,U,False,Brooklyn,11236
160,161,April 10 2018,DOG,Maltese,10,F,True,Brooklyn,11223
161,162,April 02 2018,DOG,MIXED,6,F,True,Brooklyn,11218
162,163,April 08 2018,DOG,Yorkshire Terrier Crossbreed,6,M,False,Brooklyn,11221
163,164,April 07 2018,DOG,BORDER COLLIE X,,M,False,Brooklyn,
164,165,April 07 2018,DOG,American Pit Bull Terrier/Pit Bull,1,M,False,Brooklyn,11230
165,166,April 14 2018,DOG,Cane Corso,9,F,False,Brooklyn,11234
166,167,April 16 2018,DOG,Dachshund Smooth Coat,12,F,True,Brooklyn,11249
167,168,April 16 2018,DOG,Rottweiler,2,M,True,Brooklyn,11208
168,169,April 15 2018,DOG,HOUND,,U,False,Brooklyn,11231
169,170,April 12 2018,DOG,Pit Bull,,U,False,Brooklyn,11217
170,171,April 10 2018,DOG,MALTESE/ SHIH TZU,1,M,True,Brooklyn,11201
171,172,April 18 2018,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11207
172,173,April 18 2018,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11236
173,174,April 18 2018,DOG,MIXED,2,M,False,Brooklyn,11236
174,175,April 18 2018,DOG,,,U,False,Brooklyn,
175,176,April 19 2018,DOG,American Pit Bull Mix / Pit Bull Mix,5,M,False,Brooklyn,11206
176,177,April 21 2018,DOG,American Pit Bull Mix / Pit Bull Mix,3,M,False,Brooklyn,11231
177,178,April 23 2018,DOG,Shih Tzu,7,M,False,Brooklyn,11229
178,179,April 19 2018,DOG,German Shepherd,,U,False,Brooklyn,11233
179,180,April 23 2018,DOG,MIXED,8,M,False,Brooklyn,11208
180,181,April 21 2018,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11220
181,182,April 21 2018,DOG,UNKNOWN,,U,False,Brooklyn,11238
182,183,April 23 2018,DOG,German Shepherd,2,M,True,Brooklyn,11230
183,184,April 24 2018,DOG,German Shepherd Crossbreed,8,M,True,Brooklyn,11226
184,185,April 24 2018,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11209
185,186,April 18 2018,DOG,UNKNOWN,,U,False,Brooklyn,11214
186,187,April 23 2018,DOG,UNKNOWN,,U,False,Brooklyn,
187,188,April 24 2018,DOG,Pit Bull,,U,False,Brooklyn,11206
188,189,April 24 2018,DOG,Pit Bull,,U,False,Brooklyn,
189,190,April 18 2018,DOG,Chihuahua,,U,False,Brooklyn,11221
190,191,April 25 2018,DOG,SHIH TZU X,,U,False,Brooklyn,11233
191,192,April 26 2018,DOG,Pit Bull,,U,False,Brooklyn,11238
192,193,April 02 2018,DOG,LHASA APSO/POODLE X,5,F,True,Brooklyn,11210
193,194,April 29 2018,DOG,Pit Bull,,U,False,Brooklyn,11233
194,195,April 27 2018,DOG,MIXED BREED,5,M,False,Brooklyn,11203
195,196,April 25 2018,DOG,ASIAN SHEPERD,2,M,True,Brooklyn,11204
196,197,May 01 2018,DOG,German Shepherd,9M,M,True,Brooklyn,11230
197,198,April 29 2018,DOG,MIXED,2,F,True,Brooklyn,11232
198,199,May 01 2018,DOG,MIXED,,U,False,Brooklyn,
199,200,April 14 2018,DOG,Mixed/Other,4,M,False,Brooklyn,
200,201,May 01 2018,DOG,Golden Retriever,1,M,False,Brooklyn,11230
201,202,May 02 2018,DOG,American Pit Bull Mix / Pit Bull Mix,4,F,False,Brooklyn,11220
202,203,May 02 2018,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11213
203,204,May 02 2018,DOG,Labrador Retriever Crossbreed,5,M,True,Brooklyn,11222
204,205,April 27 2018,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11215
205,206,May 03 2018,DOG,UNKNOWN,,U,False,Brooklyn,11234
206,207,May 07 2018,DOG,American Pit Bull Mix / Pit Bull Mix,,M,False,Brooklyn,11224
207,208,May 05 2018,DOG,,,U,False,Brooklyn,11204
208,209,May 05 2018,DOG,UNKNOWN,,M,False,Brooklyn,11220
209,210,May 04 2018,DOG,Yorkshire Terrier,15,M,True,Brooklyn,11214
210,211,May 07 2018,DOG,PIT BULL/LAB X,8,F,False,Brooklyn,11203
211,212,April 27 2018,DOG,Shiba Inu,,M,False,Brooklyn,
212,213,May 07 2018,DOG,Yorkshire Terrier,1,F,False,Brooklyn,11207
213,214,May 09 2018,DOG,Bull dog,,U,False,Brooklyn,
214,215,May 07 2018,DOG,Pit Bull,,U,False,Brooklyn,11214
215,216,May 08 2018,DOG,Rottweiler,1,M,True,Brooklyn,11236
216,217,May 01 2018,DOG,German Shepherd Crossbreed,15,M,True,Brooklyn,11238
217,218,March 04 2018,DOG,UNKNOWN,,U,False,Brooklyn,11206
218,219,May 10 2018,DOG,Siberian Husky,,U,False,Brooklyn,11205
219,220,May 07 2018,DOG,,,U,False,Brooklyn,
220,221,May 09 2018,DOG,AUSTRALIAN CATTLEDOG,6,F,True,Brooklyn,11226
221,222,May 10 2018,DOG,Yorkshire Terrier Crossbreed,7,F,False,Brooklyn,11205
222,223,May 12 2018,DOG,American Pit Bull Terrier/Pit Bull,,F,False,Brooklyn,11230
223,224,May 12 2018,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11221
224,225,May 14 2018,DOG,Beagle Crossbreed,4,M,True,Brooklyn,11225
225,226,May 12 2018,DOG,"Bull Dog, French",2,M,True,Brooklyn,11235
226,227,May 15 2018,DOG,MIXED BREED,8,M,False,Brooklyn,11208
227,228,May 09 2018,DOG,UNKNOWN,,U,False,Brooklyn,11223
228,229,May 14 2018,DOG,UNKNOWN,,U,False,Brooklyn,11210
229,230,May 14 2018,DOG,Great Dane,,U,False,Brooklyn,11213
230,231,May 13 2018,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11221
231,232,April 17 2018,DOG,Cane Corso,1,F,False,Brooklyn,11236
232,233,May 17 2018,DOG,Labrador Retriever Crossbreed,3,M,True,Brooklyn,11201
233,234,May 18 2018,DOG,Pit Bull,,U,False,Brooklyn,11213
234,235,May 20 2018,DOG,MIXED BREED,1,M,False,Brooklyn,11236
235,236,May 19 2018,DOG,SPANIEL,,U,False,Brooklyn,11218
236,237,May 19 2018,DOG,MIXED BREED,,U,False,Brooklyn,11226
237,238,May 20 2018,DOG,American Pit Bull Terrier/Pit Bull,4,F,False,Brooklyn,11221
238,239,May 18 2018,DOG,HUSKY,,U,False,Brooklyn,11221
239,240,May 22 2018,DOG,Pit Bull,,U,False,Brooklyn,11213
240,241,May 22 2018,DOG,Pit Bull,,U,False,Brooklyn,11226
241,242,May 20 2018,DOG,UNKNOWN,,U,False,Brooklyn,11212
242,243,May 23 2018,DOG,Cocker Spaniel,6,F,False,Brooklyn,11224
243,244,May 23 2018,DOG,Pit Bull,,U,False,Brooklyn,11208
244,245,May 24 2018,DOG,CHOW CHOW X,4,F,True,Brooklyn,11217
245,246,May 24 2018,DOG,CHOW CHOW X,4,F,True,Brooklyn,11217
246,247,May 28 2018,DOG,LARGE MIXED BREED,6,F,False,Brooklyn,11216
247,248,May 20 2018,DOG,MIXED,,U,False,Brooklyn,11220
248,249,May 28 2018,DOG,Pit Bull,,U,False,Brooklyn,
249,250,May 26 2018,DOG,AMERICAN BULLY,1,M,False,Brooklyn,11208
250,251,May 26 2018,DOG,Shih Tzu,,U,False,Brooklyn,11221
251,252,May 26 2018,DOG,MIXED BREED,,F,False,Brooklyn,11213
252,253,May 24 2018,DOG,MIXED BREED,1,M,False,Brooklyn,11216
253,254,May 27 2018,DOG,Golden Retriever,8,F,False,Brooklyn,
254,255,May 26 2018,DOG,UNCERTAIN,,U,False,Brooklyn,
255,256,May 24 2018,DOG,American Pit Bull Terrier/Pit Bull,5,M,True,Brooklyn,11212
256,257,June 01 2018,DOG,American Pit Bull Mix / Pit Bull Mix,3,F,False,Brooklyn,11223
257,258,June 02 2018,DOG,UNKNOWN,,U,False,Brooklyn,11221
258,259,June 02 2018,DOG,UNKNOWN,,U,False,Brooklyn,
259,260,June 02 2018,DOG,Pit Bull,3,M,False,Brooklyn,11233
260,261,June 05 2018,DOG,Mixed/Other,,U,False,Brooklyn,11209
261,262,June 01 2018,DOG,ZUCHON,4,M,False,Brooklyn,11217
262,263,June 01 2018,DOG,HOUND,2,M,True,Brooklyn,
263,264,June 02 2018,DOG,,,U,False,Brooklyn,
264,265,June 02 2018,DOG,Dachshund Smooth Coat,11,M,True,Brooklyn,11236
265,266,June 04 2018,DOG,SMALL MIXED BREED,8,F,False,Brooklyn,11208
266,267,June 04 2018,DOG,Pit Bull,,U,False,Brooklyn,11222
267,268,June 01 2018,DOG,Pit Bull,,U,False,Brooklyn,11230
268,269,May 25 2018,DOG,Beagle Crossbreed,,U,False,Brooklyn,11223
269,270,May 26 2018,DOG,"Bull Dog, English",6,M,True,Brooklyn,11220
270,271,May 25 2018,DOG,MIXED,,U,False,Brooklyn,11222
271,272,May 30 2018,DOG,MEDIUM MIXED BREED,5,F,False,Brooklyn,11208
272,273,June 08 2018,DOG,MEDIUM MIXED BREED,3,M,False,Brooklyn,11208
273,274,May 31 2018,DOG,Boxer,,U,False,Brooklyn,11207
274,275,May 26 2018,DOG,Shih Tzu,2,M,False,Brooklyn,11204
275,276,May 21 2018,DOG,Pit Bull,,U,False,Brooklyn,11220
276,277,May 30 2018,DOG,Shih Tzu,,U,False,Brooklyn,11238
277,278,June 06 2018,DOG,Yorkshire Terrier Crossbreed,,U,False,Brooklyn,11234
278,279,June 12 2018,DOG,Pit Bull,3,M,False,Brooklyn,11231
279,280,June 06 2018,DOG,MALTESE BIGHON MIX WHITE,,U,False,Brooklyn,
280,281,June 01 2018,DOG,BORDER COLLIE MIX,6,M,True,Brooklyn,11217
281,282,June 10 2018,DOG,Yorkshire Terrier,,U,False,Brooklyn,11201
282,283,June 02 2018,DOG,American Pit Bull Mix / Pit Bull Mix,,U,False,Brooklyn,11225
283,284,June 14 2018,DOG,TERRIER/MALTESE MIX,4,F,True,Brooklyn,11205
284,285,June 07 2018,DOG,"Poodle, Standard",,U,False,Brooklyn,11207
285,286,May 31 2018,DOG,Mixed/Other,,U,False,Brooklyn,11201
286,287,June 09 2018,DOG,Pit Bull,,U,False,Brooklyn,11205
287,288,May 23 2018,DOG,German Shepherd,4,M,False,Brooklyn,11234
288,289,May 30 2018,DOG,SHIH POO,2,F,False,Brooklyn,11203
289,290,June 14 2018,DOG,Pit Bull,,U,False,Brooklyn,11205
290,291,June 14 2018,DOG,Pit Bull,,U,False,Brooklyn,11205
291,292,June 07 2018,DOG,,,U,False,Brooklyn,
292,293,June 09 2018,DOG,Mixed/Other,5,F,False,Brooklyn,11238
293,294,June 14 2018,DOG,UNKNOWN,,U,False,Brooklyn,11205
294,295,June 10 2018,DOG,,,U,False,Brooklyn,11234
295,296,June 02 2018,DOG,Maltese,6,F,False,Brooklyn,11224
296,297,June 16 2018,DOG,Pit Bull,,U,False,Brooklyn,11236
297,298,June 04 2018,DOG,American Pit Bull Mix / Pit Bull Mix,,U,False,Brooklyn,11224
298,299,June 12 2018,DOG,MIXED BREED,,U,False,Brooklyn,11220
299,300,June 10 2018,DOG,Maltese,,M,False,Brooklyn,11206
300,301,June 19 2018,DOG,UNCERTAIN,,M,False,Brooklyn,11208
301,302,June 11 2018,DOG,Shih Tzu,,U,False,Brooklyn,11218
302,303,June 06 2018,DOG,Shih Tzu,,U,False,Brooklyn,11216
303,304,May 28 2018,DOG,Boston Terrier,,U,False,Brooklyn,11215
304,305,June 13 2018,DOG,Pit Bull,,U,False,Brooklyn,11203
305,306,June 11 2018,DOG,BERNEDOODLE,,U,False,Brooklyn,11238
306,307,June 20 2018,DOG,LARGE MIXED BREED,2,M,False,Brooklyn,11212
307,308,June 20 2018,DOG,LARGE MIXED BREED,2,F,False,Brooklyn,
308,309,June 18 2018,DOG,PUG OR PIT BULL,,U,False,Brooklyn,11249
309,310,June 17 2018,DOG,Pit Bull,,U,False,Brooklyn,11236
310,311,June 13 2018,DOG,HOUND,,U,False,Brooklyn,11231
311,312,June 18 2018,DOG,UNKNOWN,,U,False,Brooklyn,11221
312,313,June 16 2018,DOG,AUSTRALIAN SHEPARD - POODLE MIX,4,M,False,Brooklyn,
313,314,June 16 2018,DOG,UNKNOWN,,U,False,Brooklyn,
314,315,June 19 2018,DOG,Pit Bull,,U,False,Brooklyn,11226
315,316,June 24 2018,DOG,Maltese,9,F,True,Brooklyn,11212
316,317,June 18 2018,DOG,UNCERTAIN,4,M,True,Brooklyn,11215
317,318,May 28 2018,DOG,AUSTRALIAN CATTLE DOG,6,M,True,Brooklyn,11238
318,319,June 24 2018,DOG,LARGE MIXED BREED,1,M,False,Brooklyn,11210
319,320,June 23 2018,DOG,SMALL MIXED BREED,1,M,False,Brooklyn,11212
320,321,June 17 2018,DOG,Pit Bull,,U,False,Brooklyn,
321,322,June 19 2018,DOG,UNKNOWN,,U,False,Brooklyn,
322,323,June 21 2018,DOG,SHIH TZU/MALTESE X,7,M,True,Brooklyn,11236
323,324,June 23 2018,DOG,Cocker Spaniel,,U,False,Brooklyn,
324,325,June 21 2018,DOG,Boston Terrier,5,M,True,Brooklyn,11233
325,326,June 21 2018,DOG,Cane Corso,7 YRS,M,False,Brooklyn,11223
326,327,June 24 2018,DOG,MIXED,1,F,False,Brooklyn,11219
327,328,June 27 2018,DOG,Chihuahua Crossbreed,2,M,False,Brooklyn,11219
328,329,June 22 2018,DOG,UNKNOWN,,U,False,Brooklyn,11219
329,330,June 22 2018,DOG,,,U,False,Brooklyn,11205
330,331,June 25 2018,DOG,Siberian Husky,,U,False,Brooklyn,11229
331,332,June 16 2018,DOG,German Shepherd,4,M,False,Brooklyn,11224
332,333,June 30 2018,DOG,UNCERTAIN,,U,False,Brooklyn,11220
333,334,June 22 2018,DOG,Labrador Retriever,1,M,True,Brooklyn,11209
334,335,June 27 2018,DOG,CHORKIE,,U,False,Brooklyn,11204
335,336,June 21 2018,DOG,Shiba Inu,3,F,True,Brooklyn,11223
336,337,June 22 2018,DOG,German Shepherd,5,M,False,Brooklyn,11220
337,338,June 22 2018,DOG,German Shepherd,5,M,False,Brooklyn,
338,339,June 23 2018,DOG,UNCERTAIN,,U,False,Brooklyn,11237
339,340,June 23 2018,DOG,PETITE GOLDEN DOODLE,4,M,True,Brooklyn,11201
340,341,June 21 2018,DOG,Pit Bull,,U,False,Brooklyn,11226
341,342,June 23 2018,DOG,Yorkshire Terrier,4,M,False,Brooklyn,11235
342,343,June 23 2018,DOG,UNKNOWN,,U,False,Brooklyn,112
343,344,June 22 2018,DOG,Golden Retriever,,U,False,Brooklyn,11215
344,345,June 16 2018,DOG,UNKNOWN,,U,False,Brooklyn,11224
345,346,July 04 2018,DOG,Yorkshire Terrier,8,M,False,Brooklyn,11236
346,347,July 04 2018,DOG,Pit Bull,,U,False,Brooklyn,11233
